Fecha	Vendedor	Zona	Cliente	Producto	Total
05/07/2019	Antonio	Este	Cliente-65	Agenda	$674
05/07/2019	Daniel	Oeste	Cliente-79	Bolsa	$265
05/07/2019	Elena	Este	Cliente-64	Gorra	$857
06/07/2019	Elena	Norte	Cliente-95	Bolsa	$242
06/07/2019	Margarita	Este	Cliente-16	Agenda	$275
07/07/2019	Roberto	Este	Cliente-4	Lápiz	$695
08/07/2019	Pablo	Sur	Cliente-13	Llavero	$668
08/07/2019	Josefina	Norte	Cliente-47	Lápiz	$114
10/07/2019	Alejandro	Este	Cliente-16	Gorra	$434
10/07/2019	Carmen	Oeste	Cliente-49	Lápiz	$926
10/07/2019	Fernando	Norte	Cliente-18	Bolsa	$949
10/07/2019	Antonio	Norte	Cliente-39	Gorra	$711
10/07/2019	Teodoro	Oeste	Cliente-35	Reloj	$211
11/07/2019	Juan	Oeste	Cliente-47	Reloj	$220
13/07/2019	Juan	Sur	Cliente-4	Llavero	$342
13/07/2019	Margarita	Este	Cliente-91	Taza	$445
14/07/2019	Juan	Sur	Cliente-5	Llavero	$720
14/07/2019	Verónica	Norte	Cliente-29	Taza	$641
14/07/2019	Fernando	Oeste	Cliente-44	Lápiz	$675
15/07/2019	Hugo	Norte	Cliente-60	Agenda	$831
16/07/2019	Guadalupe	Sur	Cliente-48	Agenda	$588
16/07/2019	Daniel	Sur	Cliente-52	Taza	$893
17/07/2019	Antonio	Norte	Cliente-36	Gorra	$309
17/07/2019	Roberto	Norte	Cliente-34	Agenda	$888
17/07/2019	Laura	Norte	Cliente-5	Gorra	$648
18/07/2019	Antonio	Sur	Cliente-4	Bolsa	$104
18/07/2019	Elena	Sur	Cliente-32	Bolsa	$457
19/07/2019	Carmen	Norte	Cliente-70	Reloj	$415
19/07/2019	Pedro	Este	Cliente-80	Agenda	$663
21/07/2019	Pablo	Sur	Cliente-1	Taza	$587
21/07/2019	Daniel	Norte	Cliente-8	Gorra	$557
21/07/2019	Pablo	Este	Cliente-78	Reloj	$249
22/07/2019	Guadalupe	Sur	Cliente-57	Reloj	$613
23/07/2019	Francisco	Este	Cliente-69	Lápiz	$455
23/07/2019	Elena	Norte	Cliente-54	Bolsa	$156
24/07/2019	Verónica	Norte	Cliente-73	Taza	$700
24/07/2019	Margarita	Oeste	Cliente-30	Lápiz	$437
24/07/2019	Elena	Oeste	Cliente-94	Gorra	$244
24/07/2019	Pablo	Norte	Cliente-71	Llavero	$503
24/07/2019	Laura	Sur	Cliente-7	Reloj	$881
24/07/2019	Fernando	Este	Cliente-62	Taza	$949
25/07/2019	Antonio	Este	Cliente-48	Agenda	$745
25/07/2019	Roberto	Sur	Cliente-65	Agenda	$263
25/07/2019	Alejandro	Sur	Cliente-91	Gorra	$874
26/07/2019	Josefina	Oeste	Cliente-76	Llavero	$597
26/07/2019	Manuel	Sur	Cliente-41	Lápiz	$994
26/07/2019	Hugo	Norte	Cliente-52	Taza	$988
27/07/2019	Teodoro	Oeste	Cliente-45	Gorra	$786
27/07/2019	Verónica	Sur	Cliente-17	Taza	$925
28/07/2019	Carmen	Norte	Cliente-30	Bolsa	$215
28/07/2019	Daniel	Este	Cliente-1	Bolsa	$476
28/07/2019	Guadalupe	Sur	Cliente-98	Taza	$872
29/07/2019	Verónica	Este	Cliente-84	Gorra	$304
29/07/2019	Pedro	Sur	Cliente-21	Taza	$741
29/07/2019	Margarita	Oeste	Cliente-78	Lápiz	$742
29/07/2019	Josefina	Este	Cliente-91	Agenda	$261
30/07/2019	Elena	Norte	Cliente-30	Reloj	$734
30/07/2019	Fabiola	Norte	Cliente-48	Taza	$735
31/07/2019	Fabiola	Norte	Cliente-15	Bolsa	$543
31/07/2019	Margarita	Oeste	Cliente-98	Agenda	$112
31/07/2019	Fabiola	Oeste	Cliente-40	Agenda	$393
01/08/2019	Teodoro	Oeste	Cliente-41	Lápiz	$577
